x0000,y0000
13085.95945,91,
13085.95945,50,
13085.94894,54,
13085.94465,71,
13085.94465,58,
13085.94037,45,
13085.94037,79,
13085.9361,48,
13085.93173,41,
13085.93173,62,
13085.92754,58,
13085.92323,60,
13085.92323,58,
13085.91896,52,
13085.91462,65,
13085.91462,75,
13085.91023,73,
13085.90589,54,
13085.90589,57,
13085.90152,97,
13085.89711,73,
13085.89711,79,
13085.89297,67,
13085.88847,72,
13085.88847,80,
13085.88432,102,
13085.87989,132,
13085.87989,131,
13085.8754,83,
13085.87102,91,
13085.87102,106,
13085.86669,111,
13085.86227,90,
13085.86227,83,
13085.8577,70,
13085.85323,102,
13085.85323,113,
13085.84901,84,
13085.84448,71,
13085.84448,108,
13085.83999,112,
13085.83548,151,
13085.83548,94,
13085.83093,142,
13085.82648,133,
13085.82648,159,
13085.82206,95,
13085.81757,137,
13085.81757,174,
13085.81314,219,
13085.80895,242,
13085.80895,185,
13085.80451,180,
13085.80006,198,
13085.80006,179,
13085.79561,269,
13085.79118,310,
13085.79118,208,
13085.78655,299,
13085.7819,325,
13085.7819,310,
13085.77734,185,
13085.77295,281,
13085.77295,293,
13085.76848,362,
13085.764,326,
13085.764,375,
13085.75963,354,
13085.7551,536,
13085.7551,545,
13085.75063,424,
13085.75063,462,
13085.74615,531,
13085.74163,784,
13085.74163,672,
13085.73698,651,
13085.73263,804,
13085.73263,549,
13085.72807,546,
13085.72357,548,
13085.72357,704,
13085.71908,663,
13085.71462,540,
13085.71462,617,
13085.71004,618,
13085.70549,617,
13085.70549,748,
13085.70091,1083,
13085.69655,1000,
13085.69655,1103,
13085.69215,816,
13085.68767,804,
13085.68767,685,
13085.68323,804,
13085.67869,878,
13085.67869,746,
13085.67412,902,
13085.66959,977,
13085.66959,914,
13085.66498,1432,
13085.66049,1242,
13085.66049,991,
13085.65594,1158,
13085.65167,1114,
13085.65167,1080,
13085.64698,805,
13085.64243,1164,
13085.64243,1099,
13085.63784,936,
13085.63323,937,
13085.63323,952,
13085.62872,740,
13085.62414,820,
13085.62414,856,
13085.61957,576,
13085.61518,575,
13085.61518,606,
13085.61064,636,
13085.60613,550,
13085.60613,463,
13085.60154,423,
13085.59706,427,
13085.59706,524,
13085.59243,516,
13085.58794,498,
13085.58794,299,
13085.58333,441,
13085.57878,450,
13085.57878,459,
13085.57443,627,
13085.57024,564,
13085.57024,529,
13085.5655,423,
13085.56109,380,
13085.56109,320,
13085.55654,309,
13085.55192,336,
13085.55192,306,
13085.54781,342,
13085.54963,281,
13085.54703,352,
13085.54703,313,
13085.54315,365,
13085.53924,323,
13085.53924,297,
13085.53522,323,
13085.5312,251,
13085.5312,252,
13085.52717,229,
13085.52332,287,
13085.52332,208,
13085.51925,234,
13085.51533,261,
13085.51533,263,
13085.51124,274,
13085.50719,289,
13085.50719,242,
13085.50306,246,
13085.49897,292,
13085.49897,258,
13085.49488,286,
13085.49081,286,
13085.49081,255,
13085.48681,290,
13085.48276,219,
13085.48276,226,
13085.47871,187,
13085.47446,153,
13085.47446,221,
13085.47035,190,
13085.4662,215,
13085.4662,212,
13085.46206,209,
13085.45798,185,
13085.45798,140,
13085.45398,149,
13085.44966,173,
13085.44966,159,
13085.44561,151,
13085.44143,127,
13085.44143,110,
13085.43733,134,
13085.43321,114,
13085.43321,125,
13085.42897,103,
13085.42467,146,
13085.42467,150,
13085.42044,172,
13085.41633,168,
13085.41633,146,
13085.41208,138,
13085.40784,176,
13085.40784,175,
13085.40351,126,
13085.39931,159,
13085.39931,184,
13085.39496,194,
13085.39078,131,
13085.39078,161,
13085.38648,128,
13085.38227,153,
13085.38227,140,
13085.37797,165,
