x0000,y0000
10990.77585,84,
10990.77644,80,
10990.77694,87,
10990.7749,90,
10990.7746,69,
10990.77491,41,
10990.777,42,
10990.77948,55,
10990.78213,75,
10990.78215,66,
10990.78686,79,
10990.78638,70,
10990.7896,76,
10990.79057,68,
10990.79323,95,
10990.79692,87,
10990.79883,60,
10990.80264,102,
10990.80712,89,
10990.81035,91,
10990.81236,67,
10990.81538,117,
10990.8181,70,
10990.82196,80,
10990.82375,91,
10990.82826,70,
10990.83056,89,
10990.83316,88,
10990.83388,82,
10990.83701,88,
10990.83901,78,
10990.84749,82,
10990.84487,93,
10990.85064,111,
10990.85547,97,
10990.86138,108,
10990.86173,79,
10990.86939,114,
10990.87287,129,
10990.87739,120,
10990.88092,126,
10990.88396,103,
10990.89316,114,
10990.89664,131,
10990.90297,129,
10990.90525,99,
10990.90859,123,
10990.91407,136,
10990.91743,101,
10990.92229,122,
10990.92434,143,
10990.92941,130,
10990.93371,105,
10990.93524,90,
10990.93852,123,
10990.9378,116,
10990.93827,106,
10990.94127,97,
10990.9454,81,
10990.94929,97,
10990.95131,90,
10990.95236,83,
10990.95454,86,
10990.95648,100,
10990.95686,77,
10990.96273,101,
10990.96166,88,
10990.96116,110,
10990.96483,111,
10990.96763,142,
10990.96759,145,
10990.97054,106,
10990.97521,119,
10990.97675,87,
10990.9799,126,
10990.9831,101,
10990.98298,131,
10990.98618,84,
10990.99,111,
10990.99078,111,
10990.99128,97,
10990.99136,118,
10990.99412,100,
10990.99571,121,
10990.99671,99,
10990.99901,103,
10991.00178,78,
10991.00221,99,
10991.00527,98,
10991.00536,70,
10991.00941,86,
10991.00898,96,
10991.01368,103,
10991.01615,97,
10991.01536,96,
10991.02123,94,
10991.02641,122,
10991.02864,124,
10991.03297,120,
10991.03381,120,
10991.03693,183,
10991.03814,147,
10991.04361,157,
10991.04555,120,
10991.05379,165,
10991.05589,137,
10991.06025,148,
10991.06129,140,
10991.06815,151,
10991.07071,123,
10991.07335,163,
10991.07624,132,
10991.07919,184,
10991.08248,127,
10991.08615,214,
10991.08971,190,
10991.09466,202,
10991.09553,229,
10991.09804,197,
10991.10179,247,
10991.10158,170,
10991.10374,155,
10991.10591,220,
10991.10942,191,
10991.10792,214,
10991.11346,205,
10991.11523,227,
10991.1173,205,
