x0000,y0000
10990.88647,89,
10990.88656,113,
10990.8869,102,
10990.88697,108,
10990.88624,91,
10990.88783,89,
10990.887,110,
10990.88665,101,
10990.88751,105,
10990.89055,65,
10990.90164,80,
10990.90898,88,
10990.92147,99,
10990.92869,129,
10990.92855,108,
10990.93146,106,
10990.93035,101,
10990.93149,80,
10990.93541,94,
10990.94565,83,
10990.95577,128,
10990.96295,141,
10990.97354,96,
10990.97847,95,
10990.9913,136,
10991.00401,89,
10991.0115,104,
10991.01846,111,
10991.02204,72,
10991.03608,85,
10991.04139,125,
10991.04706,149,
10991.0519,127,
10991.05899,105,
10991.06765,146,
10991.07383,109,
10991.08333,112,
10991.09206,166,
10991.10095,167,
10991.10433,168,
10991.11027,219,
10991.12117,261,
10991.12888,263,
10991.13724,315,
10991.14145,389,
10991.15041,379,
10991.155,320,
10991.16254,319,
10991.17801,410,
10991.20525,385,
10991.23144,364,
10991.2431,277,
10991.26181,302,
10991.26768,328,
10991.27385,354,
10991.28617,372,
10991.29088,257,
10991.29573,326,
10991.30106,238,
10991.3104,267,
10991.31393,277,
10991.31928,291,
10991.32307,317,
10991.32829,238,
10991.33228,255,
10991.34024,256,
10991.35712,322,
10991.37136,379,
10991.37835,312,
10991.38627,385,
10991.40418,475,
10991.42163,506,
10991.44983,417,
10991.44948,380,
10991.44891,544,
10991.44917,516,
10991.44764,507,
10991.45893,658,
10991.45798,654,
10991.46693,618,
10991.4753,641,
10991.48354,619,
10991.4904,757,
10991.49186,641,
10991.49494,717,
10991.49277,642,
10991.49517,593,
10991.49463,617,
10991.50062,570,
10991.50275,629,
10991.50962,460,
10991.51239,555,
10991.5155,586,
10991.51744,588,
10991.51962,553,
10991.52315,634,
10991.52348,420,
10991.52562,496,
10991.52909,425,
10991.53256,429,
10991.53419,431,
10991.53792,504,
10991.54054,470,
10991.54292,383,
10991.54501,316,
10991.54911,401,
10991.55267,363,
10991.55462,444,
10991.55761,335,
10991.56089,380,
10991.56389,347,
10991.56431,394,
10991.56832,364,
10991.5706,343,
10991.57348,302,
10991.57668,353,
10991.57938,279,
10991.58285,308,
10991.58472,284,
10991.58785,293,
10991.58924,275,
10991.59307,287,
10991.59753,263,
10991.59959,272,
10991.60257,277,
10991.60565,211,
10991.60799,210,
10991.61179,235,
10991.6097,234,
10991.61086,232,
10991.61376,241,
10991.61235,236,
10991.61234,257,
10991.61304,338,
10991.61401,221,
10991.61676,186,
10991.61869,235,
10991.62412,266,
10991.62815,227,
10991.63194,226,
10991.6343,204,
10991.63439,300,
10991.63829,222,
10991.63945,319,
10991.64275,307,
10991.6463,303,
10991.65054,279,
10991.65244,358,
10991.65349,352,
10991.65679,282,
10991.65976,267,
10991.66344,305,
10991.66186,358,
10991.66297,263,
10991.66294,255,
10991.6623,228,
10991.66535,168,
10991.66723,253,
10991.67069,204,
10991.67286,177,
10991.67883,202,
10991.68367,232,
10991.68898,165,
10991.69434,225,
10991.69828,136,
10991.7021,145,
10991.71346,117,
10991.71749,123,
10991.72285,109,
10991.72565,140,
10991.72886,157,
10991.73193,123,
10991.7328,160,
10991.73793,146,
10991.74095,161,
10991.74415,150,
10991.74667,148,
10991.75012,181,
10991.75739,205,
10991.75843,169,
10991.7644,144,
10991.76437,149,
10991.76374,146,
10991.76449,115,
10991.76403,158,
10991.76456,121,
10991.76404,145,
10991.76623,167,
10991.77016,156,
10991.76979,117,
10991.77598,84,
10991.77907,118,
10991.78565,126,
10991.79024,152,
10991.78944,131,
10991.79263,97,
10991.79826,126,
10991.80423,111,
10991.80522,149,
10991.81374,81,
10991.81477,92,
10991.8137,95,
10991.81255,82,
10991.81188,73,
10991.81228,92,
10991.81154,109,
10991.81231,84,
10991.81294,113,
10991.81459,110,
10991.8129,106,
10991.80956,118,
10991.80848,91,
10991.80605,76,
10991.80689,91,
10991.80546,86,
10991.80166,98,
10991.79877,125,
10991.79801,111,
10991.79871,78,
10991.79718,95,
10991.79762,78,
10991.79752,108,
10991.79715,105,
10991.79653,104,
10991.79647,105,
10991.79758,119,
10991.79861,143,
10991.7972,119,
10991.79633,110,
10991.79713,84,
10991.79654,74,
10991.79806,104,
10991.7974,93,
10991.79852,111,
10991.7983,104,
10991.79849,112,
10991.79776,104,
10991.79893,142,
10991.79739,144,
10991.79861,173,
10991.79784,160,
10991.79859,155,
10991.79897,122,
10991.79907,135,
10991.79982,132,
10991.80005,118,
10991.80013,118,
10991.79978,110,
10991.79975,117,
10991.79947,119,
10991.80084,93,
10991.796,120,
10991.79322,90,
10991.78991,115,
10991.78627,100,
10991.78536,122,
10991.78474,91,
10991.78465,118,
10991.78346,113,
10991.78325,73,
10991.78364,127,
10991.78333,100,
10991.78244,94,
10991.7823,99,
10991.78359,128,
10991.78341,133,
10991.7837,114,
10991.78355,126,
10991.78483,113,
10991.78396,133,
10991.7844,115,
10991.78405,135,
10991.784,100,
10991.78528,113,
10991.78581,111,
10991.78451,129,
10991.78506,131,
10991.78449,132,
10991.78379,117,
10991.78455,121,
10991.78582,157,
