x0000,y0000
10990.72436,75,
10990.72581,66,
10990.75182,44,
10990.76215,53,
10990.77276,57,
10990.78534,97,
10990.78576,83,
10990.78581,84,
10990.79561,82,
10990.79486,50,
10990.79564,62,
10990.80691,79,
10990.8066,44,
10990.81819,60,
10990.81969,37,
10990.82535,50,
10990.83677,58,
10990.83614,53,
10990.84385,57,
10990.8486,59,
10990.85205,76,
10990.86,110,
10990.86774,114,
10990.87402,149,
10990.87711,129,
10990.88152,108,
10990.88424,122,
10990.88392,143,
10990.89223,137,
10990.90122,112,
10990.90272,138,
10990.90895,143,
10990.91074,179,
10990.90986,117,
10990.91935,139,
10990.91772,133,
10990.91754,150,
10990.92673,86,
10990.92784,76,
10990.93566,106,
10990.93605,71,
10990.94421,92,
10990.95401,105,
10990.95372,151,
10990.95368,109,
10990.9639,103,
10990.96347,102,
10990.96225,124,
10990.97488,110,
10990.98301,124,
10990.98305,151,
10990.99559,129,
10991.00529,119,
10991.01427,100,
10991.01577,99,
10991.02342,64,
10991.04155,69,
10991.04849,83,
10991.05193,100,
10991.05509,115,
10991.06143,132,
10991.06064,165,
10991.06754,110,
10991.06755,143,
10991.07422,159,
10991.07291,109,
10991.07987,132,
10991.08584,138,
10991.08478,162,
10991.0926,129,
10991.09816,110,
10991.09816,182,
10991.10454,134,
10991.10499,134,
10991.10466,152,
10991.11013,163,
10991.11131,144,
10991.11741,139,
10991.11693,145,
10991.12371,138,
10991.12333,134,
10991.12978,105,
10991.13009,164,
10991.13821,145,
10991.13855,176,
10991.14546,231,
10991.15516,237,
10991.16507,194,
10991.17443,215,
10991.18525,261,
10991.19041,238,
10991.19382,237,
10991.20112,244,
10991.20456,227,
10991.20556,250,
10991.2068,211,
10991.22408,211,
10991.22436,314,
10991.24134,260,
10991.24618,215,
10991.2493,291,
10991.25647,287,
10991.26505,255,
10991.26619,252,
10991.27169,283,
10991.27881,277,
10991.27897,276,
10991.2874,197,
10991.28671,171,
10991.28634,199,
10991.28574,308,
10991.29286,179,
10991.29887,254,
10991.30614,320,
10991.31358,289,
10991.31411,237,
10991.32014,249,
10991.32862,246,
10991.32892,272,
10991.336,396,
10991.3379,319,
10991.35513,366,
10991.35411,248,
10991.36527,326,
10991.36988,317,
10991.37476,298,
10991.38615,379,
10991.3983,394,
10991.40043,252,
10991.39928,378,
10991.4111,274,
10991.42423,435,
10991.42319,524,
10991.43653,538,
10991.44686,422,
10991.44681,390,
10991.4577,539,
10991.46904,523,
10991.47763,421,
10991.48131,443,
10991.4981,271,
10991.497,377,
10991.50715,378,
10991.50913,416,
10991.50899,404,
10991.50847,351,
10991.50792,388,
10991.50694,413,
10991.50926,381,
10991.51138,338,
10991.51441,340,
10991.51584,341,
10991.51839,346,
10991.52221,331,
10991.52446,332,
10991.52702,311,
10991.52949,268,
10991.53335,237,
10991.53513,227,
10991.54041,291,
10991.53858,205,
10991.54292,252,
10991.55011,186,
10991.55074,235,
10991.554,195,
10991.55812,249,
10991.55755,223,
10991.56409,286,
10991.56917,309,
10991.57211,290,
10991.57477,268,
10991.57792,282,
10991.5816,226,
10991.58639,291,
10991.59253,221,
10991.59493,289,
10991.60105,223,
10991.6012,242,
10991.60419,204,
10991.60532,205,
10991.60863,164,
10991.61009,231,
10991.614,244,
10991.61542,212,
