x0000,y0000
10990.52532,30,
10990.52528,28,
10990.52629,24,
10990.52757,39,
10990.52856,32,
10990.53089,28,
10990.53342,37,
10990.53594,28,
10990.53694,49,
10990.53825,38,
10990.53921,39,
10990.54251,31,
10990.54392,30,
10990.54572,39,
10990.54755,25,
10990.54839,38,
10990.55044,41,
10990.55274,41,
10990.55375,54,
10990.55687,45,
10990.55766,31,
10990.56007,23,
10990.56236,35,
10990.56422,34,
10990.56664,38,
10990.56822,30,
10990.56977,52,
10990.57203,58,
10990.57399,41,
10990.57629,40,
10990.57744,43,
10990.57983,25,
10990.58216,29,
10990.58326,52,
10990.58829,41,
10990.58984,48,
10990.59226,66,
10990.59441,52,
10990.59739,74,
10990.59794,57,
10990.60133,62,
10990.60318,67,
10990.60677,62,
10990.60977,60,
10990.61059,57,
10990.61439,38,
10990.61707,69,
10990.62019,54,
10990.62126,39,
10990.62344,68,
10990.62638,56,
10990.62915,52,
10990.63247,38,
10990.63509,52,
10990.63703,40,
10990.64084,34,
10990.64268,35,
10990.64629,56,
10990.65013,49,
10990.65274,55,
10990.65683,47,
10990.65822,43,
10990.66243,49,
10990.66416,48,
10990.66738,64,
10990.67164,71,
10990.6733,67,
10990.67765,77,
10990.68038,51,
10990.68205,73,
10990.68509,68,
10990.68883,61,
10990.69021,62,
10990.69393,70,
10990.69452,60,
10990.69841,47,
10990.70108,34,
10990.70191,74,
10990.70368,51,
10990.70686,66,
10990.70897,50,
10990.71379,67,
10990.71391,50,
10990.71667,80,
10990.71919,65,
10990.72193,54,
10990.72332,68,
10990.72684,86,
10990.72835,43,
10990.73127,64,
10990.73913,64,
10990.74929,83,
10990.7511,54,
10990.7528,36,
10990.75447,56,
10990.75624,68,
10990.7597,51,
10990.76124,58,
10990.76469,57,
10990.76667,40,
10990.77037,46,
10990.77324,46,
10990.77442,37,
10990.77877,57,
10990.78139,60,
10990.78521,42,
10990.78553,55,
10990.78856,49,
10990.79018,62,
10990.79416,68,
10990.79646,74,
10990.7997,74,
10990.80136,73,
10990.80485,70,
10990.80897,78,
10990.80974,71,
10990.81399,68,
10990.81832,66,
10990.81897,62,
10990.82181,96,
10990.82728,85,
10990.82906,82,
10990.8322,86,
10990.83857,81,
10990.8411,102,
10990.84512,55,
10990.85071,53,
10990.85765,102,
10990.85959,96,
10990.86219,94,
10990.87534,83,
10990.87909,122,
10990.88326,149,
10990.88743,119,
10990.89455,113,
10990.9042,110,
10990.90616,131,
10990.92092,159,
10990.9218,81,
10990.9259,93,
10990.95348,122,
10990.95415,86,
10990.96136,85,
10990.96266,72,
10990.96697,103,
10990.96878,82,
10990.97279,86,
10990.97315,102,
10990.9767,104,
10990.97954,101,
10990.98526,113,
10990.98585,96,
10990.98817,105,
10990.99295,97,
10990.99431,104,
10990.99509,130,
10991.00024,119,
10991.00182,129,
10991.00476,139,
10991.0083,138,
10991.00956,178,
10991.0117,153,
10991.01717,180,
10991.01895,165,
10991.02212,191,
10991.02511,192,
10991.0282,124,
10991.03313,228,
10991.03422,198,
10991.03704,169,
10991.04173,176,
10991.04466,163,
10991.04685,165,
10991.05039,191,
10991.05009,180,
10991.05468,202,
10991.06001,129,
10991.06086,157,
10991.06411,189,
10991.06719,161,
10991.07017,159,
10991.07311,171,
10991.0785,141,
10991.07835,129,
10991.08184,168,
10991.08441,164,
10991.08379,145,
10991.08507,172,
10991.08351,141,
10991.08465,146,
10991.08385,179,
10991.08355,168,
10991.08406,153,
10991.08464,221,
10991.08313,184,
10991.08348,163,
10991.08425,150,
10991.08285,178,
10991.08318,195,
10991.08423,201,
10991.0833,227,
10991.08302,154,
10991.08398,225,
10991.08351,201,
10991.08389,201,
10991.08438,197,
10991.08364,137,
10991.08356,169,
10991.08379,171,
10991.08372,156,
10991.08358,135,
10991.08338,172,
10991.08384,192,
10991.08316,215,
10991.0837,173,
10991.08334,146,
10991.08337,202,
10991.08398,184,
10991.08332,218,
10991.08284,232,
10991.08274,251,
10991.08307,224,
10991.08648,215,
10991.08832,214,
10991.08838,231,
10991.0902,236,
10991.09034,249,
10991.09542,215,
10991.09764,231,
10991.09933,218,
10991.09958,190,
10991.10161,237,
10991.10425,141,
10991.10626,213,
10991.10539,171,
10991.10625,159,
10991.10862,163,
10991.11064,181,
10991.11186,244,
10991.11427,183,
10991.11623,248,
10991.11786,156,
10991.11994,205,
10991.12183,221,
10991.12406,214,
10991.12602,251,
10991.12816,212,
10991.12952,194,
10991.133,193,
10991.13511,192,
10991.137,247,
10991.13858,225,
10991.14091,297,
10991.14342,256,
10991.14566,226,
10991.14756,252,
10991.14928,260,
10991.15144,336,
10991.15289,319,
10991.15588,224,
10991.1578,195,
10991.15983,236,
10991.16165,271,
10991.16342,217,
10991.16549,313,
10991.16805,193,
10991.16999,262,
10991.17402,251,
10991.17479,329,
10991.17722,323,
10991.18051,298,
10991.18261,235,
10991.18511,415,
10991.18759,359,
10991.18989,371,
10991.19442,258,
10991.1942,340,
10991.19761,327,
10991.20055,305,
10991.20302,220,
10991.20628,293,
10991.20862,291,
10991.21877,247,
10991.22402,232,
10991.22749,252,
10991.23135,277,
10991.23533,289,
10991.23867,198,
10991.23952,331,
10991.24346,275,
10991.24876,289,
10991.2507,256,
10991.25415,234,
10991.25607,279,
10991.26086,233,
10991.26476,292,
10991.26894,237,
10991.27067,277,
10991.27472,311,
10991.27794,331,
10991.27996,281,
10991.28371,342,
10991.28831,334,
10991.29088,299,
10991.29383,249,
10991.29797,357,
10991.29969,349,
10991.30302,342,
10991.30591,345,
10991.30742,330,
10991.31048,327,
10991.31229,299,
10991.31552,323,
10991.31763,364,
10991.32152,362,
10991.32337,322,
10991.32571,325,
10991.32751,470,
10991.32968,387,
10991.33243,421,
10991.3344,448,
10991.33789,472,
10991.34053,510,
10991.34392,415,
10991.34765,469,
10991.34792,544,
10991.35311,580,
10991.3548,606,
10991.3582,578,
10991.36101,675,
10991.36459,860,
10991.36584,738,
10991.36883,613,
10991.37378,657,
10991.37495,856,
10991.37792,708,
10991.38321,639,
10991.38476,806,
10991.39014,905,
10991.39259,704,
10991.39702,489,
10991.40136,635,
10991.40476,707,
10991.40924,730,
10991.4125,830,
10991.42074,597,
10991.42274,666,
10991.4256,834,
10991.43072,614,
10991.43813,627,
10991.44195,708,
10991.45209,668,
10991.45419,791,
10991.45742,596,
10991.46421,515,
10991.46943,524,
10991.47295,422,
10991.479,790,
10991.48245,738,
10991.48539,734,
10991.48881,658,
10991.4918,739,
10991.49657,729,
10991.49932,724,
10991.50273,794,
10991.5055,798,
10991.50996,583,
10991.51119,748,
10991.5146,671,
10991.51716,696,
10991.51978,568,
10991.52036,522,
10991.5248,574,
10991.52665,594,
10991.52949,595,
10991.53229,476,
10991.53339,497,
10991.536,398,
10991.53869,393,
10991.54101,463,
10991.54297,321,
10991.54527,357,
10991.54776,389,
10991.54952,466,
10991.55091,357,
10991.55299,346,
10991.55455,353,
10991.55735,312,
10991.55807,378,
10991.56107,410,
10991.56415,455,
10991.56589,321,
10991.56898,277,
10991.57113,305,
10991.573,355,
10991.57711,268,
10991.57891,314,
10991.58096,315,
10991.58485,345,
10991.58753,308,
10991.58958,253,
10991.59282,351,
10991.59436,269,
10991.59795,251,
10991.60019,309,
10991.60321,259,
10991.60578,253,
10991.60749,382,
10991.61022,342,
10991.61353,330,
10991.61477,389,
10991.61715,286,
10991.62143,242,
10991.62353,213,
10991.62692,201,
10991.62812,224,
10991.63044,241,
10991.63477,232,
10991.63609,159,
10991.63959,197,
10991.64265,275,
10991.64793,285,
10991.65073,247,
10991.65411,299,
10991.65786,263,
10991.65938,302,
10991.66556,299,
10991.67053,300,
10991.67198,316,
