x0000,y0000
13085.67846,10689,
13085.67844,10622,
13085.67844,9428,
13085.67844,10253,
13085.67845,11060,
13085.67851,10589,
13085.67851,10746,
13085.67851,9050,
13085.67854,9868,
13085.67854,10241,
13085.67853,10838,
13085.67853,10360,
13085.67853,9797,
13085.67855,8581,
13085.67856,10668,
13085.67856,10279,
13085.67859,10126,
13085.67862,9993,
13085.67862,9331,
13085.67864,11265,
13085.67865,10694,
13085.67865,11031,
13085.67867,10759,
13085.67867,9410,
13085.68064,10872,
13085.68337,10977,
13085.68337,10499,
13085.68634,9952,
13085.68926,10032,
13085.68926,9368,
13085.69238,11008,
13085.69554,10921,
13085.69554,10704,
13085.6988,10495,
13085.70246,10098,
13085.70246,11047,
13085.70599,11208,
13085.70989,11075,
13085.70989,10867,
13085.71368,9934,
13085.7175,10515,
13085.7175,10208,
13085.72148,10142,
13085.72536,10205,
13085.72536,10474,
13085.72945,9630,
13085.73331,9632,
13085.73331,9859,
13085.73724,10358,
13085.74145,10450,
13085.74145,9267,
13085.74546,9786,
13085.7496,9698,
13085.7496,10107,
13085.75354,9924,
13085.75765,8872,
13085.75765,7856,
13085.76193,8708,
13085.76603,9053,
13085.76603,7572,
13085.77018,8336,
13085.77434,6994,
13085.77434,8929,
13085.7786,8694,
13085.78274,8391,
13085.78274,9140,
13085.78686,8313,
13085.79115,7722,
13085.79115,8396,
13085.7952,7759,
13085.79952,8078,
13085.79952,8301,
13085.80369,6354,
13085.80774,8877,
13085.80774,7791,
13085.81197,8252,
13085.81612,8100,
13085.81612,7745,
13085.82054,5922,
13085.82475,6810,
13085.82475,7002,
13085.82887,6655,
13085.83326,6360,
13085.83326,7096,
13085.83747,6754,
13085.84198,6905,
13085.84198,6537,
13085.84619,5472,
13085.84619,6417,
13085.85053,6201,
13085.85504,5912,
13085.85504,5699,
13085.85928,5098,
13085.86379,6353,
13085.86379,5406,
13085.86805,4517,
13085.8725,5308,
13085.8725,5026,
13085.87666,4721,
13085.88091,4158,
13085.88091,4925,
13085.88552,4792,
13085.88985,4468,
13085.88985,4111,
13085.8945,4836,
13085.89898,3949,
13085.89898,4713,
13085.90345,3426,
13085.90804,3971,
13085.90804,3492,
13085.91235,4784,
13085.91693,3743,
13085.91693,3388,
13085.92124,3258,
13085.92557,3347,
13085.92557,3797,
13085.93027,3893,
13085.93461,3939,
13085.93461,3899,
13085.93922,3506,
13085.94368,3762,
13085.94368,4378,
